DATE,____-5,____-4,____-3,____-2,____-1,_____0,POSITI,____+1,____DIF
2020-05-19,-0.0107,0.0002,0.001,-0.0133,-0.0007,0.0036,SELL,1.1144,-0.0067
2020-05-18,-0.0034,-0.0107,0.0002,0.001,-0.0133,-0.0007,BUY,1.1211,0.0036
2020-05-15,0.0028,-0.0034,-0.0107,0.0002,0.001,-0.0133,NOTRAD,1.1175,-0.0007
2020-05-14,-0.0002,0.0028,-0.0034,-0.0107,0.0002,0.001,SELL,1.1182,-0.0133
2020-05-13,-0.0059,-0.0002,0.0028,-0.0034,-0.0107,0.0002,NOTRAD,1.1315,0.001
2020-05-12,0.0067,-0.0059,-0.0002,0.0028,-0.0034,-0.0107,NOTRAD,1.1305,0.0002
2020-05-11,0.0037,0.0067,-0.0059,-0.0002,0.0028,-0.0034,SELL,1.1303,-0.0107
2020-05-08,-0.0124,0.0037,0.0067,-0.0059,-0.0002,0.0028,SELL,1.1410,-0.0034
2020-05-07,0.003,-0.0124,0.0037,0.0067,-0.0059,-0.0002,BUY,1.1444,0.0028
2020-05-06,-0.001,0.003,-0.0124,0.0037,0.0067,-0.0059,NOTRAD,1.1416,-0.0002
2020-05-05,0.0003,-0.001,0.003,-0.0124,0.0037,0.0067,SELL,1.1418,-0.0059
2020-05-04,0.0055,0.0003,-0.001,0.003,-0.0124,0.0037,BUY,1.1477,0.0067
2020-05-01,-0.0038,0.0055,0.0003,-0.001,0.003,-0.0124,BUY,1.1410,0.0037
2020-04-30,0.0055,-0.0038,0.0055,0.0003,-0.001,0.003,SELL,1.1373,-0.0124
2020-04-29,0.0075,0.0055,-0.0038,0.0055,0.0003,-0.001,BUY,1.1497,0.003
2020-04-28,-0.0122,0.0075,0.0055,-0.0038,0.0055,0.0003,NOTRAD,1.1467,-0.001
2020-04-27,-0.0048,-0.0122,0.0075,0.0055,-0.0038,0.0055,NOTRAD,1.1477,0.0003
2020-04-24,0.0007,-0.0048,-0.0122,0.0075,0.0055,-0.0038,BUY,1.1474,0.0055
2020-04-23,0.0006,0.0007,-0.0048,-0.0122,0.0075,0.0055,SELL,1.1419,-0.0038
2020-04-22,-0.0007,0.0006,0.0007,-0.0048,-0.0122,0.0075,BUY,1.1457,0.0055
2020-04-21,0.0029,-0.0007,0.0006,0.0007,-0.0048,-0.0122,BUY,1.1402,0.0075
2020-04-20,0.0077,0.0029,-0.0007,0.0006,0.0007,-0.0048,SELL,1.1327,-0.0122
2020-04-17,-0.001,0.0077,0.0029,-0.0007,0.0006,0.0007,SELL,1.1449,-0.0048
2020-04-16,-0.001,-0.001,0.0077,0.0029,-0.0007,0.0006,NOTRAD,1.1497,0.0007
2020-04-15,0.0078,-0.001,-0.001,0.0077,0.0029,-0.0007,NOTRAD,1.1490,0.0006
2020-04-14,0.0024,0.0078,-0.001,-0.001,0.0077,0.0029,NOTRAD,1.1484,-0.0007
2020-04-13,-0.0039,0.0024,0.0078,-0.001,-0.001,0.0077,BUY,1.1491,0.0029
2020-04-10,-0.0074,-0.0039,0.0024,0.0078,-0.001,-0.001,BUY,1.1462,0.0077
2020-04-09,0.0104,-0.0074,-0.0039,0.0024,0.0078,-0.001,NOTRAD,1.1385,-0.001
2020-04-08,0.007,0.0104,-0.0074,-0.0039,0.0024,0.0078,NOTRAD,1.1395,-0.001
2020-04-07,0.0026,0.007,0.0104,-0.0074,-0.0039,0.0024,BUY,1.1405,0.0078
2020-04-06,0.0043,0.0026,0.007,0.0104,-0.0074,-0.0039,BUY,1.1327,0.0024
2020-04-03,0.0158,0.0043,0.0026,0.007,0.0104,-0.0074,SELL,1.1303,-0.0039
2020-04-02,0.0156,0.0158,0.0043,0.0026,0.007,0.0104,SELL,1.1342,-0.0074
2020-04-01,-0.0042,0.0156,0.0158,0.0043,0.0026,0.007,BUY,1.1416,0.0104
2020-03-31,0.0154,-0.0042,0.0156,0.0158,0.0043,0.0026,BUY,1.1312,0.007
2020-03-30,-0.0143,0.0154,-0.0042,0.0156,0.0158,0.0043,BUY,1.1242,0.0026
2020-03-27,0.0172,-0.0143,0.0154,-0.0042,0.0156,0.0158,BUY,1.1216,0.0043
2020-03-26,0.0072,0.0172,-0.0143,0.0154,-0.0042,0.0156,BUY,1.1173,0.0158
2020-03-25,-0.0312,0.0072,0.0172,-0.0143,0.0154,-0.0042,BUY,1.1015,0.0156
2020-03-24,-0.0022,-0.0312,0.0072,0.0172,-0.0143,0.0154,SELL,1.0859,-0.0042
2020-03-23,-0.0071,-0.0022,-0.0312,0.0072,0.0172,-0.0143,BUY,1.0901,0.0154
2020-03-20,-0.0198,-0.0071,-0.0022,-0.0312,0.0072,0.0172,SELL,1.0747,-0.0143
2020-03-19,-0.0131,-0.0198,-0.0071,-0.0022,-0.0312,0.0072,BUY,1.0890,0.0172
2020-03-18,-0.0029,-0.0131,-0.0198,-0.0071,-0.0022,-0.0312,BUY,1.0718,0.0072
2020-03-17,-0.0038,-0.0029,-0.0131,-0.0198,-0.0071,-0.0022,SELL,1.0646,-0.0312
2020-03-16,-0.011,-0.0038,-0.0029,-0.0131,-0.0198,-0.0071,SELL,1.0958,-0.0022
2020-03-13,0.0028,-0.011,-0.0038,-0.0029,-0.0131,-0.0198,SELL,1.0980,-0.0071
2020-03-12,-0.0023,0.0028,-0.011,-0.0038,-0.0029,-0.0131,SELL,1.1051,-0.0198
2020-03-11,0.0083,-0.0023,0.0028,-0.011,-0.0038,-0.0029,SELL,1.1249,-0.0131
2020-03-10,0.0022,0.0083,-0.0023,0.0028,-0.011,-0.0038,SELL,1.1380,-0.0029
2020-03-09,-0.0174,0.0022,0.0083,-0.0023,0.0028,-0.011,SELL,1.1409,-0.0038
